Rank,Name,Domain,Type,Meaning / story
1,Setoku,setoku.com,coined,"set (math) × oku 奥 ""innermost"" — the innermost set: the intelligence layer beneath your AI"
2,Tiesout,tiesout.com,idiom,"""The numbers tie out"" — the accountant's phrase for verified against source"
3,Setminus,setminus.com,math,"The operator A \ B — your business, minus the guesswork"
4,Lemma2,lemma2.com,droid,"A lemma is the small proven result everything else builds on; R2-D2-style designation"
5,1nner,1nner.com,leet,"""Inner"" — the innermost layer, in five characters"
6,Spanningset,spanningset.com,math,"Linear algebra: the minimal set that spans the whole space"
7,Aud1t,aud1t.com,leet,"""Audit"" — every query governed, logged, attributed; reads as AUD-1T"
8,Grandmean,grandmean.com,math,"Statistics: the grand mean is the mean of means"
9,Booksagree,booksagree.com,idiom,"Double-entry's promise, as a sentence: the books agree"
10,Parallax5,parallax5.com,droid,"Parallax: true distance measured from two angles — cross-checking as a designation"
11,Sumfold,sumfold.com,coined,"sum × fold — in CS, fold(+,0) is summation; folds the whole business into one consultable artifact"
12,Runningsum,runningsum.com,math,"The running sum — always current, always accounted for"
13,Pivotcolumn,pivotcolumn.com,math,"Pivot tables to business people, pivot columns to mathematicians — both hear their own meaning"
14,N0tary,n0tary.com,leet,"""Notary"" — the profession of attesting that a thing is true"
15,Trialtally,trialtally.com,idiom,"Echo of the trial balance — the bookkeeper's daily proof that the books agree"
16,Ba5is,ba5is.com,leet,"""Basis"" — the minimal set of vectors that expresses everything else"
17,Trimmedmean,trimmedmean.com,math,"The average with the outliers removed — the honest number"
18,Veritoku,veritoku.com,coined,"veri (Latin: true) × toku 解く (solve) — true-solve"
19,Wholetold,wholetold.com,idiom,"The whole story, all told — ""told"" originally meant counted (bank teller, all told)"
20,Provesout,provesout.com,idiom,"Assayer's idiom: ""it proves out"" — tested and confirmed real"
21,Ittallies,ittallies.com,idiom,"""It tallies"" — the two records agree"
22,Alltallied,alltallied.com,idiom,"Everything counted — the whole business, all tallied"
23,Straightcount,straightcount.com,idiom,"A straight count — no spin, no estimate"
24,Prooftotal,prooftotal.com,idiom,"The proof total — the figure you check the work against"
25,Provensum,provensum.com,idiom,"A sum that has been proven"
26,Castnines,castnines.com,idiom,"Casting out nines — the centuries-old self-check that catches arithmetic errors"
27,Closedproof,closedproof.com,math,"Closed form + proof — the exact answer, shown"
28,Truelemma,truelemma.com,math,"The proven stepping-stone result, true by construction"
29,Leadingterm,leadingterm.com,math,"The term that dominates the polynomial — what actually drives the number"
30,Columnrank,columnrank.com,math,"Matrix rank — how much independent information the data really holds"
31,Unitfraction,unitfraction.com,math,"1/n — the simplest honest piece of a whole"
32,Semisum,semisum.com,math,"The half-sum — old arithmetic's name for the average"
33,Kaioku,kaioku.com,coined,"kai 解 (solve) × oku 奥 (innermost) — solve the innermost"
34,Countfold,countfold.com,coined,"Folds every count into one artifact"
35,Plaintold,plaintold.com,idiom,"Told plainly — the unvarnished number"
36,5olve,5olve.com,leet,"""Solve"""
37,Pr0ven,pr0ven.com,leet,"""Proven"""
38,Ta1ly,ta1ly.com,leet,"""Tally"""
39,Rat1o,rat1o.com,leet,"""Ratio"""
40,5umma,5umma.com,leet,"""Summa"" — Pacioli's 1494 book that taught the world double-entry bookkeeping"
41,Tensor2,tensor2.com,droid,"The multi-dimensional array — data in every direction"
42,Scalar2,scalar2.com,droid,"The single number that scales everything"
43,Quorum2,quorum2.com,droid,"The minimum count that makes a decision valid"
44,Mantissa8,mantissa8.com,droid,"The fractional heart of a logarithm"
45,Sextant9,sextant9.com,droid,"The navigator's instrument — position fixed by measurement"
46,Caliper4,caliper4.com,droid,"Precision you can hold"
47,Tallyzero,tallyzero.com,droid,"The count starts from zero — nothing assumed"
48,Gauss6,gauss6.com,droid,"The prince of mathematicians; the unit of magnetic truth"
49,Equinox0,equinox0.com,droid,"The day the books of day and night balance"
50,Verdict5,verdict5.com,droid,"The finding, delivered"
